product_id,mean,std,error_margin
0,0.3355595785024563,0.008773812484741211,0.05222817732519515
1,0.2713540911576533,0.013732923889160156,0.09966390392105354
2,0.11938326695787016,0.0045776412963867185,0.07825756356236574
3,0.2643084685539928,0.012397778511047364,0.09273487369567722
4,0.9425313690729943,0.04692082328796387,0.09788672421804402
5,0.9276922884442581,0.0019073505401611332,0.004334692440074839
6,0.7888264535894949,0.030136138534545897,0.07504874261241606
7,0.10012976438903487,0.0022888206481933597,0.04509607116190061
8,0.6291623126792201,0.004959111404418945,0.015687175176884626
9,0.9917594783382815,0.04367832736968995,0.08643997066546685
