,worker_id,package_id,region_id,weight,operation,label
0,0,5715,0,13.295024688869221,PUT,False
1,1,5756,18,6.311274350980937,PUT,False
2,0,1980,33,9.877524360206172,PUT,False
3,0,3084,47,11.449820618461157,PUT,False
4,0,1275,4,11.86840083224028,PUT,False
5,0,9870,36,9.434036067739896,PUT,False
6,1,7257,21,5.286470760583792,PUT,False
7,0,4254,46,5.720626736462932,PUT,False
8,1,3581,46,5.679404038860591,PUT,False
9,1,4481,5,9.838430476239024,PUT,False
10,0,8584,46,4.619994897323063,PUT,False
11,0,6347,37,12.173532287901882,PUT,False
12,0,9748,0,6.833403048999177,PUT,False
13,1,1180,8,11.82214458739597,PUT,False
14,0,4026,17,7.090729251520709,PUT,False
15,1,2208,43,11.807369355607676,PUT,False
16,0,168,5,11.1045083490218,PUT,False
17,1,7502,10,10.186285948981222,PUT,False
18,0,3810,18,8.11670116016522,PUT,False
19,0,4833,15,9.36708595607118,PUT,False
20,1,570,41,10.96755958806218,PUT,False
21,0,5918,9,10.745819953622236,PUT,False
22,0,9756,36,7.771813364825869,PUT,False
23,1,6450,35,10.745980221068436,PUT,False
24,1,5381,34,6.844971729733216,PUT,False
25,0,7929,18,11.34934602350008,PUT,False
26,0,1078,44,10.732667594328237,PUT,False
27,1,2626,0,9.991393362491507,PUT,False
28,0,3078,8,8.335095445684235,PUT,False
29,0,3807,23,12.220082447755091,PUT,False
30,0,4927,18,8.874378030110766,PUT,False
31,1,8362,43,10.322681388123968,PUT,False
32,1,3804,28,14.11964412051722,PUT,False
33,1,6223,32,8.319222250530013,PUT,False
34,1,3614,7,11.061217856333387,PUT,False
35,1,9495,33,5.058723166581091,PUT,False
36,0,9973,23,9.889914721435035,PUT,False
37,0,4442,40,11.28175828022888,PUT,False
38,0,9602,12,12.761336259582954,PUT,False
39,0,2705,38,11.370718781549918,PUT,False
40,0,75,36,10.725970204599673,PUT,False
41,1,8395,46,6.748540444921968,PUT,False
42,0,3086,3,8.143324226997661,PUT,False
43,0,1659,3,7.204479703406144,PUT,False
44,1,3589,4,7.4819448902560985,PUT,False
45,1,1123,44,8.643668027137691,PUT,False
46,0,5420,14,8.958829871503193,PUT,False
47,1,3090,44,6.838052540995112,PUT,False
48,1,9183,33,7.815947238369542,PUT,False
49,1,7397,0,12.029476770866397,PUT,False
50,1,9051,42,9.117336211624176,PUT,False
51,0,9341,14,9.46216410798369,PUT,True
52,1,4968,41,8.956337743559912,PUT,False
53,0,9626,33,8.082091824844127,PUT,False
54,0,6068,46,9.702594850046339,PUT,False
55,0,328,11,11.976867224144453,PUT,False
56,0,1221,33,7.5079667326912745,PUT,False
57,1,7371,26,11.598845225516758,PUT,False
58,1,4822,48,10.150813539241845,PUT,False
59,1,2192,31,13.041990548447673,PUT,False
60,1,1702,49,12.315727527031761,PUT,False
61,1,9929,3,12.217761648239915,PUT,False
62,0,7041,49,10.56639762862495,PUT,False
63,0,5486,1,9.78947254954253,PUT,False
64,1,9079,24,6.984140141360412,PUT,False
65,0,354,8,12.890836492755717,PUT,False
66,0,4730,32,9.170947804370304,PUT,False
67,1,4443,13,6.321943329871278,PUT,False
68,1,203,37,10.834656840211583,PUT,False
69,0,4131,23,9.10442666543591,PUT,False
70,0,6695,2,8.363386822284339,PUT,False
71,0,1642,28,5.898897534836809,PUT,False
72,1,926,20,6.598094012324725,PUT,False
73,0,9786,15,9.636406387983314,PUT,False
74,0,3455,34,10.175443946249299,PUT,False
75,1,4577,38,13.106486462641614,PUT,False
76,1,364,37,8.820388408546957,PUT,False
77,1,9059,31,10.504727052775726,PUT,False
78,1,228,27,9.41147367143707,PUT,False
79,0,7171,46,10.996225817596715,PUT,False
80,0,4018,28,7.151041853873124,PUT,False
81,1,7160,34,10.157723902650314,PUT,False
82,1,7907,28,5.211185999082493,PUT,False
83,1,7561,31,13.327664462883222,PUT,False
84,0,8834,38,7.406473476556267,PUT,False
85,0,3049,33,13.226770316204883,PUT,False
86,0,2160,1,8.148818230598156,PUT,False
87,1,1001,46,6.282829450594076,PUT,False
88,1,4988,9,7.7270496860610836,PUT,False
89,0,6166,49,9.930516015763006,PUT,False
90,1,3923,28,13.898920461790397,PUT,False
91,1,9313,44,7.047154986175636,PUT,False
92,0,8595,11,15.71371651104667,PUT,False
