,worker_id,busket_id,product_id,weight,operation,label
0,7,421,89,0.45020023310604584,PUT,False
1,2,963,17,0.7222408638773488,PUT,False
2,6,763,83,0.37682266549770577,PUT,False
3,10,899,54,0.3179197858525811,PUT,False
4,8,136,50,0.6142529870727592,PUT,False
5,3,746,56,0.42008703885116727,PUT,False
6,6,320,53,0.2654647421080881,PUT,False
7,2,568,50,0.6292181109654991,PUT,False
8,3,687,42,0.038166170395325806,PUT,False
9,5,638,54,0.9537207597160663,PUT,True
10,10,986,23,0.30828277150593814,PUT,False
11,6,546,93,0.12911154673541525,PUT,False
12,2,380,87,0.7493010918586882,PUT,True
13,14,45,87,0.5554602343315452,PUT,False
14,8,164,34,0.9380299497148925,PUT,False
15,7,698,5,0.8740222356867345,PUT,False
16,13,631,83,0.36674343582717084,PUT,False
17,0,42,1,0.7164976049382392,PUT,False
18,1,827,28,0.03519101465056686,PUT,False
19,6,648,44,0.9343158502276874,PUT,False
20,4,174,2,0.07452486127592184,PUT,False
21,7,298,34,0.9600443641835142,PUT,False
22,14,472,25,0.12825186335159489,PUT,False
23,10,269,69,0.6714208584945736,PUT,False
24,10,109,27,0.947705450291304,PUT,False
25,9,479,49,0.05065057417952797,PUT,False
26,6,240,96,0.3610988301212525,PUT,False
27,8,907,8,0.06385773762147559,PUT,False
28,9,65,92,0.14123394167501463,PUT,False
29,0,977,63,0.09741116002691261,PUT,False
30,4,36,70,0.655270352670736,PUT,False
31,7,688,21,0.1273271586526738,PUT,False
32,0,278,36,0.7415334722412729,PUT,False
33,7,481,15,0.05042451320957482,PUT,False
34,0,351,98,0.8803133893507662,PUT,False
35,5,347,99,0.14099636204222282,PUT,False
36,4,472,24,0.6896648463645254,PUT,False
37,5,889,48,0.5808936906359133,PUT,False
38,5,97,45,0.10699787887744454,PUT,False
39,3,595,78,0.929210068681703,PUT,False
40,8,340,49,0.0473762433944506,PUT,False
41,5,310,54,0.2976247128526364,PUT,False
42,10,244,91,0.071483836529373,PUT,False
43,13,365,37,0.5509966894269371,PUT,False
44,13,970,7,0.25473709299853303,PUT,False
45,1,272,39,0.1612782643690001,PUT,False
46,4,376,98,0.9914267469637397,PUT,False
47,8,461,99,0.13879304003668946,PUT,False
48,12,180,55,0.5223135031519215,PUT,False
49,5,424,0,0.052425622271880704,PUT,False
50,10,611,51,0.1285096054958675,PUT,False
51,0,322,32,0.1450620541322133,PUT,False
52,13,931,91,0.07102498924065286,PUT,False
53,4,891,47,0.15461835279009006,PUT,False
54,1,974,12,0.4749404110525443,PUT,False
55,11,557,18,0.666854427789989,PUT,False
56,6,60,57,0.8806196374359189,PUT,False
57,10,26,47,0.15242956268848626,PUT,False
58,1,731,63,0.0949613088560796,PUT,False
59,2,303,1,0.7184144326556239,PUT,False
60,13,475,93,0.12489984876959535,PUT,False
61,3,466,94,0.6341786148916597,PUT,False
62,6,971,42,0.03844959096373597,PUT,False
63,14,333,73,0.6319335335370461,PUT,False
64,13,449,76,0.40445557106471786,PUT,False
65,2,618,8,0.06600120791876334,PUT,False
66,2,690,59,0.27483726874905945,PUT,False
67,10,173,47,0.1542083262951773,PUT,False
68,1,876,9,0.23361065963945937,PUT,False
69,13,651,77,0.6649278297501973,PUT,False
70,6,623,46,0.6392231280738243,PUT,False
71,13,704,83,0.4131258175434787,PUT,False
72,4,152,6,0.4882947697121942,PUT,False
73,0,897,26,0.8524457163120701,PUT,False
74,2,791,82,0.7344913066864462,PUT,False
75,1,104,50,0.6257184729922223,PUT,False
76,4,410,99,0.14219812050967737,PUT,False
77,0,5,89,0.46246116290266914,PUT,False
78,3,93,26,0.8883696459673021,PUT,False
79,10,773,52,0.7090850347800148,PUT,False
80,2,452,75,0.9494125726174851,PUT,False
81,2,499,1,0.7138825636960949,PUT,False
82,8,833,59,0.26590460386628434,PUT,False
83,3,6,18,0.6619062592346281,PUT,False
84,1,210,36,0.7520380632665788,PUT,False
85,5,235,96,0.37026692198448785,PUT,False
86,6,552,84,0.7355645901011221,PUT,False
87,4,30,2,0.08040745191346879,PUT,False
88,2,815,53,0.2631827691779766,PUT,False
89,6,499,62,0.673168408456968,PUT,False
90,1,786,83,0.3589028660204636,PUT,False
91,10,637,60,0.9278610933262188,PUT,False
92,4,757,33,0.39272353908680974,PUT,False
93,8,260,5,0.9170142092627351,PUT,False
94,11,268,88,0.5474824704714052,PUT,False
95,9,347,92,0.1379307227203154,PUT,False
96,12,528,20,0.9003141664031546,PUT,False
97,10,563,93,0.13439312340021958,PUT,False
98,6,593,73,0.63057971343103,PUT,False
99,12,856,41,0.8813360108409753,PUT,False
100,6,688,75,0.9729988410126658,PUT,False
101,10,292,15,0.05260966863916858,PUT,False
102,5,987,96,0.3422562542240185,PUT,False
103,3,798,7,0.2818556294076009,PUT,True
104,4,830,6,0.44541969315948643,PUT,False
105,1,913,1,0.7103517226701945,PUT,False
106,10,761,40,0.6912794925778484,PUT,False
107,9,321,0,0.05325711837524515,PUT,False
108,8,402,56,0.666453956795346,PUT,True
109,10,715,10,0.19305584517943503,PUT,False
110,13,75,53,0.26697868349845566,PUT,False
111,6,960,9,0.23251701359071691,PUT,False
112,13,990,48,0.506696408158489,PUT,False
113,3,505,61,0.7067673539242945,PUT,False
114,12,795,52,0.7391875731753939,PUT,False
115,11,510,90,0.22645325671776773,PUT,False
116,5,682,59,0.27474259425448994,PUT,False
117,13,712,74,0.5567316517409396,PUT,False
118,0,222,68,0.26747579388634163,PUT,False
119,10,877,55,0.5311169441212774,PUT,False
120,11,183,3,0.3032868209280409,PUT,False
121,9,404,21,0.14096239758651508,PUT,False
122,5,214,98,0.9326787172908748,PUT,False
123,11,133,3,0.2970515335551698,PUT,False
124,6,680,43,0.7769334859946664,PUT,False
125,4,955,29,0.852842627077319,PUT,False
126,9,337,49,0.05494904321527561,PUT,False
127,2,13,89,0.44892483104308145,PUT,False
128,5,89,31,0.20430984512338088,PUT,False
129,7,480,49,0.054275926039085876,PUT,False
130,1,274,85,0.3396252111699408,PUT,False
131,12,466,0,0.052011979819916475,PUT,False
132,12,698,73,0.6308065761445858,PUT,False
133,7,348,57,0.8795286447064339,PUT,False
134,1,465,37,0.5695919154347736,PUT,False
135,4,151,29,0.84699373573768,PUT,False
136,10,335,96,0.38818367024544237,PUT,False
137,8,513,69,0.6713091154285674,PUT,False
138,12,445,91,0.06913962732833052,PUT,False
139,14,514,32,0.15145748404488604,PUT,False
140,14,436,94,0.6341786148916597,PUT,False
141,6,139,76,0.40069033781927316,PUT,False
142,7,382,59,0.26786948553542267,PUT,False
143,4,935,14,0.6759670185171062,PUT,False
144,3,743,51,0.12928927381218788,PUT,False
145,6,142,8,0.06599231254681218,PUT,False
146,13,754,81,0.15887865846734298,PUT,False
147,1,273,16,0.7690220091826725,PUT,False
148,14,745,88,0.5354184299327408,PUT,False
149,11,281,55,0.5357021952361365,PUT,False
150,2,893,93,0.12733239780503053,PUT,False
151,14,115,13,0.1030412301295684,PUT,False
152,8,792,31,0.2031248239173609,PUT,False
153,5,797,8,0.0668469668289404,PUT,False
154,11,547,29,0.8702458985883682,PUT,False
155,7,34,32,0.15123784591467965,PUT,False
156,1,845,46,0.6606953495290949,PUT,False
157,10,412,43,0.7616166285475036,PUT,False
158,13,970,23,0.3005407567306709,PUT,False
159,12,536,74,0.5487744090177757,PUT,False
160,11,26,90,0.2277644911205132,PUT,False
161,4,228,72,0.9008129446189038,PUT,False
162,13,768,89,0.4454444013649637,PUT,False
163,7,570,11,0.42623757772538606,PUT,False
164,9,996,27,0.9769650594444026,PUT,False
165,4,671,64,0.4649330139944648,PUT,False
166,7,779,66,0.7989755078178515,PUT,False
167,14,580,92,0.13571922425496782,PUT,False
168,11,56,79,0.9941048701937295,PUT,False
169,7,368,62,0.7230823157719344,PUT,False
170,12,926,11,0.4157353995358287,PUT,False
171,14,43,40,0.6304989602826836,PUT,False
172,5,447,60,0.910285208292586,PUT,False
173,4,380,22,0.4674980492831561,PUT,False
174,4,746,19,0.8210112519216825,PUT,False
175,8,912,7,0.2624292120010869,PUT,False
176,13,290,15,0.0522319986779445,PUT,False
177,4,996,16,0.7856997371721473,PUT,False
178,7,237,85,0.3342785825418743,PUT,False
179,11,754,83,0.45217692990760716,PUT,False
180,8,736,10,0.17479674159666758,PUT,False
181,7,773,93,0.1241081613327588,PUT,False
182,9,706,3,0.29194415290297565,PUT,False
183,8,561,71,0.8257457064265239,PUT,False
184,10,455,68,0.2675671373182186,PUT,False
185,4,293,21,0.1415653079167546,PUT,False
186,4,431,2,0.07983002871646674,PUT,False
