,worker_id,package_id,region_id,error_rate,operation,label
0,0,171,9,0.0002997605276018151,PUT,False
1,6,485,2,7.203937690028058e-05,PUT,False
2,12,742,12,0.000598312009155147,PUT,False
3,4,193,11,0.00036907800135336475,PUT,False
4,12,922,0,0.00014427377733892843,PUT,False
5,12,802,5,0.0006271197191711252,PUT,False
6,11,31,15,2.534999625994753e-05,PUT,False
7,13,996,8,0.00026317671554831006,PUT,False
8,6,242,14,0.0002121224277146925,PUT,False
9,11,362,8,5.723463773008407e-06,PUT,False
10,8,267,4,0.0006645229964406062,PUT,False
11,10,421,1,2.5356625541842344e-05,PUT,False
12,4,519,5,0.00046759124859857847,PUT,False
13,0,174,15,6.10131452609246e-05,PUT,False
14,6,565,13,0.0003311851786473464,PUT,False
15,9,82,6,0.0004136020752178273,PUT,False
16,4,353,11,0.0001976000086458611,PUT,False
17,11,784,9,0.00017383868823342752,PUT,False
18,1,407,7,4.936238257228222e-05,PUT,False
19,11,175,4,0.0002677335103840868,PUT,False
20,12,608,2,7.245084060288105e-06,PUT,False
21,9,317,16,0.0003896788490243907,PUT,False
22,5,241,3,6.497833136203507e-05,PUT,False
23,8,801,9,3.719128143995641e-05,PUT,False
24,5,12,16,0.0003873606630277611,PUT,False
25,2,107,10,0.00022207418696257612,PUT,False
26,10,187,13,0.0002720816951393361,PUT,False
27,14,177,10,0.00011564550759445045,PUT,False
28,5,117,5,0.0004126696717779098,PUT,False
29,8,677,5,0.000273097659789111,PUT,False
30,3,971,14,0.00032818901020289224,PUT,False
31,4,246,10,7.5664961304591e-05,PUT,False
32,6,115,1,6.864464664026402e-06,PUT,False
33,0,561,7,0.00012849658553786748,PUT,False
34,0,54,10,0.00020576063431172016,PUT,False
35,14,3,7,2.271694058078969e-05,PUT,False
36,5,636,12,8.080253528079324e-05,PUT,False
37,2,100,8,0.0001384205962710377,PUT,False
38,4,227,13,0.00022486068337695882,PUT,False
39,11,514,5,5.269387823528888e-05,PUT,False
40,11,819,1,0.00017213869000949413,PUT,False
41,9,439,0,0.00021036181559631095,PUT,False
42,11,15,12,3.697522090206995e-05,PUT,False
43,3,753,12,7.373231773727603e-05,PUT,False
44,11,457,12,0.0004298908483741632,PUT,False
45,8,944,10,0.0007845419617027657,PUT,False
46,2,566,11,0.00013416190514986412,PUT,False
47,13,384,7,0.0006616076379865315,PUT,False
48,4,524,8,0.0005412377368201756,PUT,False
49,0,936,10,0.00015941148314051643,PUT,False
50,3,691,13,0.00041800951326518844,PUT,False
51,2,458,16,0.00032292561556031437,PUT,False
52,7,66,9,0.00014156669742716212,PUT,False
53,14,380,16,6.570808205835638e-05,PUT,False
54,9,531,16,0.00013828401081900636,PUT,False
55,14,35,8,0.0002863129713021262,PUT,False
56,0,970,16,5.1731412602861724e-05,PUT,False
57,4,959,9,8.980613395467508e-06,PUT,False
58,9,262,14,0.00045709884478456947,PUT,False
59,12,42,2,3.5791220976939204e-05,PUT,False
60,0,872,14,0.0005267937052141899,PUT,False
61,10,134,14,0.00021517346410607083,PUT,False
62,1,797,8,0.00015096705397334804,PUT,False
63,2,812,16,0.0005612303297356041,PUT,False
64,0,155,2,0.00020514889052707707,PUT,False
65,7,51,13,0.00025465680183444457,PUT,False
66,11,628,6,0.0002066451229443684,PUT,False
67,5,33,15,0.00023454777992951918,PUT,False
68,6,511,4,0.00021074040209189936,PUT,False
69,2,731,11,7.93762215531359e-05,PUT,False
70,1,615,9,0.00013390784904426128,PUT,False
71,8,254,10,0.0002172576696637827,PUT,False
72,14,504,15,0.00027525531157060386,PUT,False
73,9,59,1,0.0006225257115811272,PUT,False
74,9,451,8,0.00028673204314686433,PUT,False
75,11,496,5,3.1035256549921633e-06,PUT,False
76,0,761,9,0.0002946219384238457,PUT,False
77,10,898,13,0.00011337376327598582,PUT,False
78,2,158,1,0.0007160119024006551,PUT,False
79,4,131,13,0.00037437193216705673,PUT,False
80,14,995,1,8.264741867101048e-05,PUT,False
81,7,525,0,0.0004962035333241924,PUT,False
82,11,98,13,0.00024822749052728877,PUT,False
83,14,181,8,0.0008211394832352539,PUT,False
84,6,180,15,0.00019678030391840774,PUT,False
85,13,420,15,0.00017093130940971986,PUT,False
86,14,164,2,9.432497305211984e-05,PUT,False
87,10,690,6,0.00027026687645314456,PUT,False
88,4,945,11,0.0002710723820468261,PUT,False
89,1,649,0,0.0002638431871576917,PUT,False
90,2,558,16,5.036147730280332e-05,PUT,False
91,13,538,14,0.00030472002954559223,PUT,False
92,7,105,6,0.00013487288361977307,PUT,False
93,12,763,16,7.486436812828897e-05,PUT,False
94,2,923,9,6.824908919728675e-05,PUT,False
95,3,352,3,6.47940308263622e-05,PUT,False
96,6,17,6,0.00018765827419807955,PUT,False
